Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2
2014.03,1713,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2015.03,1774,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2016.03,1790,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2017.03,1788,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2018.03,1655,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2019.03,1795,PROVISIONAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1979.03,-5.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1980.03,11.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1981.03,10.7,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1982.03,-1.9,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1983.03,1.8,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1984.03,-6.8,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1985.03,3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1986.03,19.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1987.03,-0.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1988.03,11.9,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1989.03,-2.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1990.03,-6.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1991.03,15.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1992.03,-1.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1993.03,-14,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1994.03,15.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1995.03,-2.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1996.03,5.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1997.03,7.2,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1998.03,0.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1999.03,-5,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2000.03,3.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2001.03,1.9,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2002.03,-3.8,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2003.03,-2.4,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2004.03,9.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2005.03,-4.3,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2006.03,3.8,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2007.03,3,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2008.03,-16.7,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2009.03,7.6,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2010.03,1.6,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2011.03,-8.3,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2012.03,11.9,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2013.03,4.3,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2014.03,-1.4,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2015.03,3.6,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2016.03,0.9,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2017.03,-0.1,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2018.03,-7.5,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
2019.03,8.5,PROVISIONAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,"Agriculture, Forestry and Fishing"
1978.03,1000,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1979.03,816,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1980.03,580,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1981.03,539,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1982.03,600,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1983.03,806,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1984.03,739,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1985.03,829,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1986.03,1101,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1987.03,1020,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1988.03,1007,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1989.03,974,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1990.03,802,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1991.03,859,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1992.03,842,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1993.03,847,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1994.03,899,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1995.03,835,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1996.03,841,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1997.03,1068,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1998.03,1093,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1999.03,1095,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2000.03,1047,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2001.03,1062,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2002.03,1003,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2003.03,982,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2004.03,816,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2005.03,778,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2006.03,782,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2007.03,675,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2008.03,1005,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2009.03,918,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2010.03,928,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2011.03,845,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2012.03,710,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2013.03,659,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2014.03,642,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2015.03,637,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2016.03,596,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2017.03,514,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2018.03,540,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2019.03,544,PROVISIONAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1979.03,-18.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1980.03,-28.9,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1981.03,-7.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1982.03,11.2,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1983.03,34.5,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1984.03,-8.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1985.03,12.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1986.03,32.8,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1987.03,-7.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1988.03,-1.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1989.03,-3.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1990.03,-17.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1991.03,7,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1992.03,-2,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1993.03,0.7,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1994.03,6.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1995.03,-7.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1996.03,0.7,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1997.03,27,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1998.03,2.3,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1999.03,0.2,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2000.03,-4.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2001.03,1.4,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2002.03,-5.5,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2003.03,-2.1,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2004.03,-16.9,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2005.03,-4.6,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2006.03,0.5,FINAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2007.03,-13.7,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2008.03,48.9,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2009.03,-8.7,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2010.03,1.1,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2011.03,-8.9,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2012.03,-16,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2013.03,-7.1,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2014.03,-2.7,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2015.03,-0.7,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2016.03,-6.4,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2017.03,-13.9,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2018.03,5.1,REVISED,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
2019.03,0.8,PROVISIONAL,Percent,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Mining
1978.03,1000,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1979.03,985,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1980.03,1013,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1981.03,986,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1982.03,984,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1983.03,853,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1984.03,782,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1985.03,783,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1986.03,704,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1987.03,676,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1988.03,623,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1989.03,604,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1990.03,567,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1991.03,542,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1992.03,529,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1993.03,550,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1994.03,571,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1995.03,585,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1996.03,579,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1997.03,576,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1998.03,580,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
1999.03,568,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2000.03,588,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2001.03,595,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2002.03,584,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2003.03,621,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2004.03,624,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2005.03,621,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2006.03,611,FINAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2007.03,582,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2008.03,577,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2009.03,517,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2010.03,513,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2011.03,533,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2012.03,527,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2013.03,532,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2014.03,533,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2015.03,537,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2016.03,545,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2017.03,556,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2018.03,573,REVISED,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
2019.03,575,PROVISIONAL,Index,Productivity Statistics - PRD,Productivity Indexes - Industry Level (ANZSIC06),Capital,Manufacturing
